nl,ar
de,ال
het,ال
een,واحد
en,و
ik,أنا
jij,أنت
hij,هو
zij,هي
wij,نحن
jullie,أنتم
zij (mv),هم
dit,هذا
dat,ذلك
die,تلك
wat,ماذا
waar,أين
wie,من
hoe,كيف
wanneer,متى
waarom,لماذا
welk,أي
alles,كل شيء
iets,شيء
niets,لا شيء
iedereen,الجميع
niemand,لا أحد
altijd,دائماً
nooit,أبداً
soms,أحياناً
vaak,غالباً
nu,الآن
straks,قريباً
gisteren,أمس
vandaag,اليوم
morgen,غداً
vroeg,مبكراً
laat,متأخراً
tijd,وقت
jaar,سنة
maand,شهر
week,أسبوع
dag,يوم
uur,ساعة
minuut,دقيقة
seconde,ثانية
man,رجل
vrouw,امرأة
kind,طفل
vriend,صديق
familie,عائلة
vader,أب
moeder,أم
broer,أخ
zus,أخت
zoon,ابن
dochter,ابنة
opa,جد
oma,جدة
oom,عم
tante,عمة
neef,ابن عم
nicht,ابنة عم
huis,بيت
kamer,غرفة
deur,باب
raam,نافذة
keuken,مطبخ
badkamer,حمام
slaapkamer,غرفة نوم
bed,سرير
tafel,طاولة
stoel,كرسي
bank,أريكة
vloer,أرضية
muur,جدار
plafond,سقف
lamp,مصباح
telefoon,هاتف
computer,كمبيوتر
boek,كتاب
pen,قلم
papier,ورق
school,مدرسة
universiteit,جامعة
werk,عمل
baan,وظيفة
winkel,متجر
geld,مال
prijs,سعر
euro,يورو
markt,سوق
eten,طعام
drinken,شراب
water,ماء
melk,حليب
brood,خبز
rijst,أرز
vlees,لحم
vis,سمك
groente,خضار
fruit,فاكهة
appel,تفاح
banaan,موز
sinaasappel,برتقال
tomaat,طماطم
aardappel,بطاطس
ui,بصل
knoflook,ثوم
olie,زيت
zout,ملح
suiker,سكر
thee,شاي
koffie,قهوة
bier,بيرة
wijn,نبيذ
ontbijt,فطور
lunch,غداء
avondeten,عشاء
restaurant,مطعم
menu,قائمة
bord,طبق
glas,كأس
beker,كوب
mes,سكين
vork,شوكة
lepel,ملعقة
auto,سيارة
fiets,دراجة
bus,حافلة
trein,قطار
metro,مترو
vliegtuig,طائرة
schip,سفينة
boot,قارب
straat,شارع
weg,طريق
plein,ساحة
brug,جسر
station,محطة
halte,موقف
kaart,خريطة
stad,مدينة
dorp,قرية
land,بلد
wereld,عالم
zee,بحر
rivier,نهر
meer,بحيرة
berg,جبل
bos,غابة
boom,شجرة
bloem,زهرة
gras,عشب
lucht,سماء
zon,شمس
maan,قمر
ster,نجمة
regen,مطر
sneeuw,ثلج
wind,رياح
koud,بارد
warm,دافئ
heet,حار
mooi,جميل
lelijk,قبيح
groot,كبير
klein,صغير
lang,طويل
kort,قصير
dik,سمين
dun,نحيف
oud,قديم
jong,شاب
nieuw,جديد
goed,جيد
slecht,سيء
duur,غالي
goedkoop,رخيص
gemakkelijk,سهل
moeilijk,صعب
snel,سريع
langzaam,بطيء
eerste,أول
laatste,أخير
vroeger,سابقاً
binnen,داخل
buiten,خارج
boven,فوق
onder,تحت
naast,بجانب
voor,أمام
achter,خلف
links,يسار
rechts,يمين
hier,هنا
daar,هناك
overal,في كل مكان
ergens,في مكان ما
nergens,لا مكان
begin,بداية
einde,نهاية
open,مفتوح
dicht,مغلق
aan,تشغيل
uit,إيقاف
ja,نعم
nee,لا
misschien,ربما
alstublieft,من فضلك
dank je,شكراً
graag gedaan,على الرحب
sorry,آسف
help,hulp
stop,توقف
politie,شرطة
dokter,طبيب
ziekenhuis,مستشفى
apotheek,صيدلية
medicijn,دواء
gezondheid,صحة
ziek,مريض
pijn,ألم
hoofd,رأس
haar,شعر
gezicht,وجه
oog,عين
oor,أذن
neus,أنف
mond,فم
tand,سن
hand,يد
arm,ذراع
been,ساق
voet,قدم
hart,قلب
bloed,دم
eten (ww),يأكل
drinken (ww),يشرب
slapen,ينام
lopen,يمشي
rennen,يجري
zitten,يجلس
staan,يقف
kijken,ينظر
horen,يسمع
spreken,يتكلم
lezen,يقرأ
schrijven,يكتب
weten,يعرف
denken,يفكر
geloven,يؤمن
begrijpen,يفهم
leren,يتعلم
werken,يعمل
maken,يصنع
doen,يفعل
geven,يعطي
nemen,يأخذ
krijgen,يحصل
vinden,يجد
zoeken,يبحث
houden,يحب
willen,يريد
kunnen,يستطيع
moeten,يجب
zullen,سوف
gaan,يذهب
komen,يأتي
blijven,يبقى
zien,يرى
kijken naar,يشاهد
luisteren,يستمع
zeggen,يقول
vragen,يسأل
antwoorden,يجيب
beginnen,يبدأ
stoppen,يتوقف
openen,يفتح
sluiten,يغلق
leiden,يقود
volgen,يتبع
spelen,يلعب
zingen,يغني
dansen,يرقص
werken,يشتغل
studeren,يدرس
kopen,يشتري
verkopen,يبيع
betalen,يدفع
kosten,يكلف
brengen,يحضر
sturen,يرسل
reizen,يسافر
rijden,يقود
varen,يبحر
vliegen,يطير
wachten,ينتظر
gebruiken,يستعمل
wassen,يغسل
koken,يطبخ
bakken,يخبز
snijden,يقطع
open,مفتوح
gesloten,مغلق
druk,مزدحم
leeg,فارغ
vol,ممتلئ
licht,خفيف
zwaar,ثقيل
hard,قوي
zacht,ناعم
nat,مبلل
droog,جاف
schoon,نظيف
vies,وسخ
mooi,جميل
lelijk,قبيح
gelukkig,سعيد
verdrietig,حزين
boos,غاضب
bang,خائف
vermoeid,متعب
slaap,نوم
droom,حلم
leven,حياة
dood,موت
waar,صحيح
onwaar,خطأ
nieuws,أخبار
krant,جريدة
radio,راديو
televisie,تلفاز
muziek,موسيقى
film,فيلم
spel,لعبة
sport,رياضة
voetbal,كرة قدم
basketbal,كرة سلة
tennis,تنس
zwemmen,سباحة
lopen,جري
fiets,دراجة
school,مدرسة
klas,صف
leraar,معلم
leerling,تلميذ
boek,كتاب
schrift,دفتر
bord,سبورة
les,درس
vakantie,عطلة
toets,اختبار
examen,امتحان
taal,لغة
Nederlands,هولندية
Arabisch,عربية
Engels,إنجليزية
Frans,فرنسية
Duits,ألمانية
Spaans,إسبانية
Italiaans,إيطالية
hallo,مرحبا
goedemorgen,صباح الخير
goedemiddag,مساء الخير
goedenavond,مساء الخير
welterusten,تصبح على خير
dag,إلى اللقاء
tot ziens,مع السلامة
tot straks,أراك قريباً
tot morgen,أراك غداً
welkom,أهلاً وسهلاً
hoe gaat het,كيف حالك
goed,بخير
slecht,سيء
prima,تمام
druk,مشغول
rustig,هادئ
gefeliciteerd,مبروك
veel succes,بالتوفيق
proost,في صحتك
eet smakelijk,صحة وهنا
smakelijk,شهية طيبة
straat,شارع
huis,منزل
flat,شقة
gebouw,مبنى
brug,جسر
plein,ساحة
markt,سوق
kerk,كنيسة
moskee,مسجد
school,مدرسة
ziekenhuis,مستشفى
winkel,متجر
bank,بنك
post,بريد
bibliotheek,مكتبة
hotel,فندق
restaurant,مطعم
café,مقهى
bioscoop,سينما
park,حديقة
station,محطة
lucht,جو
regen,مطر
zon,شمس
maan,قمر
ster,نجمة
weer,طقس
koud,بارد
warm,دافئ
heet,حار
sneeuw,ثلج
ijs,ثلج/جليد
storm,عاصفة
wind,ريح
wolken,غيوم
donker,مظلم
licht,ضوء
kleur,لون
rood,أحمر
blauw,أزرق
geel,أصفر
groen,أخضر
wit,أبيض
zwart,أسود
grijs,رمادي
bruin,بني
oranje,برتقالي
paars,بنفسجي
roze,وردي
goud,goud
zilver,فضي
nummer,رقم
één,واحد
twee,اثنان
drie,ثلاثة
vier,أربعة
vijf,خمسة
zes,ستة
zeven,سبعة
acht,ثمانية
negen,تسعة
tien,عشرة
elf,أحد عشر
twaalf,اثنا عشر
dertien,ثلاثة عشر
veertien,أربعة عشر
vijftien,خمسة عشر
twintig,عشرون
dertig,ثلاثون
veertig,أربعون
vijftig,خمسون
zestig,ستون
zeventig,سبعون
tachtig,ثمانون
negentig,تسعون
honderd,مئة
duizend,ألف
miljoen,مليون
eerst,أولاً
tweede,ثانياً
derde,ثالثاً
vierde,رابعاً
vijfde,خامساً
dag,يوم
maandag,الاثنين
dinsdag,الثلاثاء
woensdag,الأربعاء
donderdag,الخميس
vrijdag,الجمعة
zaterdag,السبت
zondag,الأحد
seizoen,موسم
lente,ربيع
zomer,صيف
herfst,خريف
winter,شتاء
ochtend,صباح
middag,ظهر
avond,مساء
nacht,ليل
familie,عائلة
ouder,والد
vader,أب
moeder,أم
zoon,ابن
dochter,ابنة
broer,أخ
zus,أخت
oom,عم/خال
tante,عمة/خالة
neef,ابن عم/ابن خال
nicht,ابنة عم/ابنة خال
opa,جد
oma,جدة
kleinzoon,حفيد
kleindochter,حفيدة
man,رجل
vrouw,امرأة
kind,طفل
baby,رضيع
vriend,صديق
vriendin,صديقة
buren,جيران
collega,زميل
baas,رئيس
werknemer,موظف
dokter,طبيب
verpleegster,ممرضة
leraar,معلم
student,طالب
chauffeur,سائق
boer,فلاح
bakker,خباز
slager,جزار
visser,صياد
politie,شرطة
soldaat,جندي
koning,ملك
koningin,ملكة
president,رئيس
minister,وزير
ambtenaar,موظف حكومي
rechter,قاضي
advocaat,محامي
ingenieur,مهندس
architect,مهندس معماري
arts,طبيب
piloot,طيار
kok,طباخ
kelner,نادل
schrijver,كاتب
dichter,شاعر
muzikant,موسيقي
acteur,ممثل
artiest,فنان
zanger,مغني
beroep,مهنة
werk,عمل
baan,وظيفة
kantoor,مكتب
vergadering,اجتماع
project,مشروع
rapport,تقرير
brief,رسالة
e-mail,بريد إلكتروني
telefoon,هاتف
nummer,رقم
adres,عنوان
stad,مدينة
dorp,قرية
land,بلد
wereld,عالم
zee,بحر
rivier,نهر
meer,بحيرة
berg,جبل
bos,غابة
veld,حقل
woestijn,صحراء
eiland,جزيرة
kust,ساحل
strand,شاطئ
natuur,طبيعة
dier,حيوان
kat,قط
hond,كلب
paard,حصان
koe,بقرة
schaap,خروف
geit,ماعز
kip,دجاجة
eend,بطة
vis,سمك
vogel,طائر
muis,فأر
rat,جرذ
konijn,أرنب
beer,دب
leeuw,أسد
tijger,نمر
olifant,فيل
apen,قرود
slang,ثعبان
insect,حشرة
bij,نحلة
mug,بعوضة
vlieg,ذباب
mier,نملة
spin,عنكبوت
boom,شجرة
bloem,زهرة
gras,عشب
blad,ورقة
tak,غصن
wortel,جذر
zaad,بذرة
fruit,فاكهة
appel,تفاح
peer,إجاص
banaan,موز
sinaasappel,برتقال
citroen,ليمون
druif,عنب
kers,كرز
aardbei,فراولة
meloen,شمام
watermeloen,بطيخ
groente,خضار
aardappel,بطاطس
tomaat,طماطم
komkommer,خيار
wortel,جزر
ui,بصل
knoflook,ثوم
sla,خس
boon,فاصوليا
erwt,بازلاء
paprika,فلفل
broccoli,بروكلي
bloemkool,قرنبيط
rijst,أرز
graan,حبوب
tarwe,قمح
brood,خبز
pasta,معكرونة
vlees,لحم
kip,دجاج
vis,سمك
ei,بيضة
kaas,جبن
boter,زبدة
olie,زيت
suiker,سكر
zout,ملح
peper,فلفل
soep,حساء
saus,صلصة
salade,سلطة
ontbijt,فطور
lunch,غداء
avondeten,عشاء
drank,مشروب
water,ماء
thee,شاي
koffie,قهوة
melk,حليب
sap,عصير
bier,بيرة
wijn,نبيذ
fles,زجاجة
glas,كأس
kopje,فنجان
bord,صحن
mes,سكين
vork,شوكة
lepel,ملعقة
pan,مقلاة
pot,قدر
